bill_id	bill_type	congress	introduced_at	bill_number	sponsor_SGID
hr3613-115	hr	115	2017-07-28	3613	1787
hr841-115	hr	115	2017-02-02	841	1615
hr5496-115	hr	115	2018-04-12	5496	1844
hr3071-115	hr	115	2017-06-27	3071	1891
hr807-115	hr	115	2017-02-01	807	1646
hr3788-115	hr	115	2017-09-14	3788	891
hr6898-115	hr	115	2018-09-26	6898	1945
hr5606-115	hr	115	2018-04-24	5606	1588
hr922-115	hr	115	2017-02-07	922	1910
hr7066-115	hr	115	2018-10-16	7066	1867
hr785-115	hr	115	2017-02-01	785	1475
hr1577-115	hr	115	2017-03-16	1577	1961
hr6602-115	hr	115	2018-07-26	6602	703
hr6313-115	hr	115	2018-07-06	6313	1750
hr476-115	hr	115	2017-01-12	476	1968
hr6690-115	hr	115	2018-08-28	6690	1574
hr3220-115	hr	115	2017-07-13	3220	1861
hr6815-115	hr	115	2018-09-13	6815	1949
hr3419-115	hr	115	2017-07-26	3419	1881
hr6978-115	hr	115	2018-09-28	6978	187
hr1089-115	hr	115	2017-02-15	1089	1626
hr354-115	hr	115	2017-01-06	354	1766
hr5387-115	hr	115	2018-03-22	5387	1846
hr3924-115	hr	115	2017-10-03	3924	1819
hr1420-115	hr	115	2017-03-08	1420	282
hr6740-115	hr	115	2018-09-07	6740	1343
hr4179-115	hr	115	2017-10-31	4179	1474
hr3806-115	hr	115	2017-09-18	3806	1435
hr5399-115	hr	115	2018-03-22	5399	1812
hr5841-115	hr	115	2018-05-16	5841	1828
hr3600-115	hr	115	2017-07-28	3600	1475
hr465-115	hr	115	2017-01-12	465	1752
hr6894-115	hr	115	2018-09-25	6894	1987
hr1760-115	hr	115	2017-03-28	1760	1925
hr29-115	hr	115	2017-01-03	29	450
hr4943-115	hr	115	2018-02-06	4943	1811
hr3025-115	hr	115	2017-06-22	3025	1346
hr837-115	hr	115	2017-02-02	837	1833
hr4589-115	hr	115	2017-12-07	4589	1896
hr5845-115	hr	115	2018-05-16	5845	1158
hr3121-115	hr	115	2017-06-29	3121	1817
hr3046-115	hr	115	2017-06-23	3046	1975
hr3608-115	hr	115	2017-07-28	3608	1624
hr366-115	hr	115	2017-01-06	366	1844
hr1968-115	hr	115	2017-04-06	1968	1906
hr5558-115	hr	115	2018-04-18	5558	1566
hr379-115	hr	115	2017-01-09	379	515
hr620-115	hr	115	2017-01-24	620	1541
hr4600-115	hr	115	2017-12-07	4600	891
hr5920-115	hr	115	2018-05-22	5920	1588
hr7008-115	hr	115	2018-09-28	7008	1825
hr4894-115	hr	115	2018-01-29	4894	1763
